"id","lat","lon","n"
968039498,45.511097,-77.505333,"1"
968039557,45.634361,-77.074837,"1"
968039593,45.82732,-77.120117,"1"
968039612,45.487305,-77.746513,"2"
968039703,45.61956,-77.235771,"2"
968039959,45.828514,-77.114304,"3"
968039980,45.772522,-76.912582,"4"
968040040,45.617878,-77.103424,"6"
968040072,45.830921,-77.132652,"3"
968040107,45.791409,-76.904511,"1"
968040161,45.815537,-77.142509,"925"
968040202,45.815537,-77.142509,"1"
968040273,45.884274,-77.245216,"1"
968040333,45.82732,-77.120117,"1"
968040389,45.791409,-76.904511,"1"
968040404,45.821648,-77.300064,"3"
968040431,45.884274,-77.245216,"1"
968040448,45.812191,-77.188789,"4"
968040452,45.821648,-77.300064,"6"
968040462,45.821648,-77.300064,"8"
968040472,45.821648,-77.300064,"5"
968040483,45.821648,-77.300064,"4"
968040493,45.818989,-77.220322,"5"
968040503,45.818989,-77.220322,"6"
968040528,45.818989,-77.220322,"8"
968040570,45.818989,-77.220322,"4"
968040595,45.79464,-76.91172,"6"
968040638,45.809177,-77.366669,"2"
968040662,45.818989,-77.220322,"4"
968040720,45.620159,-77.390266,"2"
968040760,45.884056,-77.246338,"3"
968040956,45.79464,-76.91172,"4"
968041021,45.809177,-77.366669,"6"
968041070,45.886333,-77.313278,"2"
968041107,45.79464,-76.91172,"4"
968041171,45.81522,-76.895714,"4"
968041210,45.791702,-76.902756,"1"
968041237,45.79464,-76.91172,"4"
968041291,45.600586,-77.107544,"1"
968041431,45.815529,-77.142509,"183"
968041507,45.815529,-77.142509,"158"
968041531,45.809177,-77.366669,"12"
968041556,45.818989,-77.220322,"6"
968041579,45.818989,-77.220322,"4"
968041607,45.818989,-77.220322,"4"
968041633,45.818989,-77.220322,"4"
968041655,45.818989,-77.220322,"4"
968041672,45.818989,-77.220322,"3"
968041702,45.818989,-77.220322,"2"
968041778,45.99577,-77.421082,"13"
968041833,45.818989,-77.220322,"4"
968042171,45.815529,-77.142509,"214"
968042200,45.815529,-77.142509,"237"
968042238,45.815529,-77.142509,"318"
968042275,45.815529,-77.142509,"472"
968042326,45.57893,-77.102791,"462"
968042376,45.815529,-77.142509,"457"
968042414,45.815529,-77.142509,"595"
968042453,45.815529,-77.142509,"643"
968042500,45.815529,-77.142509,"828"
968042553,45.815529,-77.142509,"602"
968042597,45.815529,-77.142509,"756"
968042644,45.815529,-77.142509,"779"
968042691,45.815529,-77.142509,"740"
968042735,45.815529,-77.142509,"721"
968042786,45.815529,-77.142509,"599"
968042826,45.815529,-77.142509,"693"
968042872,45.815529,-77.142509,"686"
968042913,45.815529,-77.142509,"632"
968042964,45.815529,-77.142509,"733"
968043019,45.815529,-77.142509,"782"
968043078,45.815529,-77.142509,"721"
968043130,45.815529,-77.142509,"897"
968043182,45.815529,-77.142509,"925"
968043234,45.815529,-77.142509,"1120"
968043272,45.815529,-77.142509,"878"
968043314,45.815529,-77.142509,"898"
968043360,45.815529,-77.142509,"843"
968043408,45.815529,-77.142509,"789"
968043456,45.815529,-77.142509,"907"
968043509,45.815529,-77.142509,"978"
968043557,45.815529,-77.142509,"787"
968043605,45.815529,-77.142509,"741"
